LOC_Os03g41060.1	8-79
LOC_Os09g15389.1	702-779
LOC_Os09g15389.1	614-793
LOC_Os09g15389.1	772-804
LOC_Os09g15389.1	805-849
LOC_Os09g15389.1	828-923
LOC_Os09g15389.1	815-982
LOC_Os09g15389.1	1022-1048
LOC_Os09g15389.1	1032-1058
LOC_Os09g15389.1	1075-1113
LOC_Os09g15389.1	1114-1131
LOC_Os09g15389.1	1104-1199
LOC_Os02g13800.1	25-69
LOC_Os02g13800.1	38-142
LOC_Os02g13800.1	73-156
LOC_Os07g48596.1	4-27
LOC_Os07g48596.1	31-51
LOC_Os07g48596.1	48-95
LOC_Os07g48596.1	109-165
LOC_Os02g47230.1	124-237
LOC_Os02g47230.1	74-409
LOC_Os02g47230.1	289-480
LOC_Os02g47230.1	458-487
LOC_Os02g47230.1	267-506
LOC_Os02g47230.1	507-551
LOC_Os03g54000.1	11-34
LOC_Os03g54000.1	110-181
LOC_Os03g54000.1	159-209
LOC_Os02g47230.2	124-237
LOC_Os02g47230.2	74-409
LOC_Os02g47230.2	289-480
LOC_Os02g47230.2	458-487
LOC_Os02g47230.2	267-506
LOC_Os02g47230.2	507-539
LOC_Os02g47230.2	603-623
LOC_Os08g37010.1	44-97
LOC_Os08g37010.1	94-114
LOC_Os03g54000.2	11-34
LOC_Os03g54000.2	110-181
LOC_Os03g54000.2	159-209
LOC_Os03g54000.2	632-676
LOC_Os03g54000.2	749-769
LOC_Os03g54000.2	393-785
LOC_Os03g54000.2	782-817
LOC_Os03g54000.2	907-927
LOC_Os07g46280.1	17-64
LOC_Os07g46280.1	61-90
LOC_Os07g46280.1	30-119
LOC_Os03g62750.2	223-399
LOC_Os03g62750.2	403-459
LOC_Os03g62750.2	350-601
LOC_Os03g62750.2	529-702
LOC_Os03g62750.2	621-707
LOC_Os07g46280.2	37-84
LOC_Os07g46280.2	15-110
LOC_Os07g46280.2	50-139
LOC_Os03g62750.3	223-399
LOC_Os03g62750.3	403-459
LOC_Os03g62750.3	350-601
LOC_Os03g62750.3	529-702
LOC_Os03g62750.3	621-707
LOC_Os03g62750.3	704-724
LOC_Os06g30440.1	21-71
LOC_Os06g30440.1	44-85
LOC_Os06g30440.1	82-108
LOC_Os07g46280.3	17-64
LOC_Os07g46280.3	61-90
LOC_Os07g46280.3	30-119
LOC_Os06g30440.2	19-60
LOC_Os06g30440.2	57-83
LOC_Os04g38720.1	35-64
LOC_Os10g11354.1	46-63
LOC_Os03g56310.1	19-225
LOC_Os03g56310.1	53-232
LOC_Os03g56310.1	269-337
LOC_Os03g56310.2	19-225
LOC_Os03g56310.2	53-232
LOC_Os03g56310.2	269-337
LOC_Os03g56310.2	334-567
LOC_Os03g47990.1	13-30
LOC_Os03g56310.3	19-225
LOC_Os03g56310.3	53-232
LOC_Os03g56310.3	269-337
LOC_Os03g56310.4	19-225
LOC_Os03g56310.4	53-232
LOC_Os03g56310.4	269-337
LOC_Os05g33270.1	36-65
LOC_Os05g33270.1	88-150
LOC_Os05g33270.1	143-235
LOC_Os06g40040.1	77-157
LOC_Os06g40040.1	40-186
LOC_Os06g40040.2	77-157
LOC_Os06g40040.2	40-186
LOC_Os01g11300.1	21-47
LOC_Os01g11300.1	17-73
LOC_Os01g11300.1	116-142
LOC_Os09g15370.1	35-79
LOC_Os09g15370.1	22-132
LOC_Os09g15370.1	15-149
LOC_Os09g15370.1	164-196
LOC_Os08g26700.1	14-187
LOC_Os08g26700.1	6-200
LOC_Os08g26700.1	232-288
LOC_Os08g26700.2	7-180
LOC_Os08g26700.2	225-281
LOC_Os03g58620.1	45-71
LOC_Os12g44150.1	9-86
LOC_Os12g44150.1	1-192
LOC_Os12g44150.1	152-202
LOC_Os12g36860.1	94-153
LOC_Os08g26700.3	7-180
LOC_Os08g26700.3	225-281
LOC_Os12g44150.2	6-53
LOC_Os12g44150.2	16-111
LOC_Os12g44150.2	66-119
LOC_Os12g44150.2	121-192
LOC_Os10g36470.2	34-117
LOC_Os08g42740.2	3-116
LOC_Os08g42740.3	3-116
LOC_Os01g13024.1	177-224
LOC_Os01g13024.1	86-313
LOC_Os01g13024.1	199-345
LOC_Os08g42740.4	3-116
LOC_Os08g42740.5	3-116
LOC_Os08g42740.5	216-413
LOC_Os08g42740.5	429-452
LOC_Os08g42740.5	462-536
LOC_Os08g42740.5	517-543
LOC_Os08g42740.5	540-593
LOC_Os08g42740.5	594-635
LOC_Os01g66980.1	19-57
LOC_Os08g42740.6	3-116
LOC_Os04g35700.1	19-174
LOC_Os01g66980.2	8-31
LOC_Os08g42740.7	3-116
LOC_Os08g42740.7	216-413
LOC_Os08g42740.7	429-452
LOC_Os08g42740.7	462-536
LOC_Os08g42740.7	517-543
LOC_Os08g42740.7	540-593
LOC_Os08g42740.7	594-626
LOC_Os08g42740.7	628-645
LOC_Os08g42740.7	642-665
LOC_Os08g42740.7	703-783
LOC_Os08g42740.7	672-788
LOC_Os08g42740.7	810-908
LOC_Os08g42740.7	838-921
LOC_Os08g42740.7	878-964
LOC_Os08g42740.7	978-1001
LOC_Os04g35700.2	19-174
LOC_Os01g12580.1	15-110
LOC_Os01g12580.1	107-178
LOC_Os01g12580.1	19-261
LOC_Os01g12580.1	251-334
LOC_Os01g12580.1	225-422
LOC_Os01g12580.1	331-459
LOC_Os01g12580.1	470-547
LOC_Os11g30620.1	8-28
LOC_Os11g30620.1	41-88
LOC_Os10g39810.1	36-53
LOC_Os10g39810.2	36-53
LOC_Os10g38780.1	3-32
LOC_Os10g38780.1	73-144
LOC_Os10g38780.1	160-177
LOC_Os01g06140.1	38-97
LOC_Os02g04590.1	15-38
LOC_Os02g04590.1	35-76
LOC_Os06g05190.1	58-93
LOC_Os06g05190.1	5-142
LOC_Os03g55600.1	157-177
LOC_Os08g37580.1	139-195
LOC_Os08g37580.1	250-381
LOC_Os08g37580.1	228-413
LOC_Os08g37580.1	212-463
LOC_Os08g37580.1	397-477
LOC_Os03g16130.1	38-58
LOC_Os03g16130.2	38-58
LOC_Os03g16130.2	132-224
LOC_Os03g16130.2	13-342
LOC_Os03g16130.2	435-461
LOC_Os03g16130.2	516-551
LOC_Os04g14580.1	20-229
LOC_Os04g14580.1	281-346
LOC_Os04g14580.1	402-494
LOC_Os04g14580.1	581-601
LOC_Os04g14580.1	528-617
LOC_Os04g14580.1	672-716
LOC_Os03g16130.3	38-58
LOC_Os03g16130.3	132-224
LOC_Os03g16130.3	13-342
LOC_Os03g16130.3	435-461
LOC_Os03g16130.3	516-551
LOC_Os03g16130.4	38-58
LOC_Os03g16130.4	132-224
LOC_Os03g16130.4	13-342
LOC_Os03g16130.4	435-461
LOC_Os03g16130.4	516-551
LOC_Os02g15220.1	168-212
LOC_Os02g07930.1	135-203
LOC_Os02g07930.1	179-208
LOC_Os03g16130.5	8-37
LOC_Os03g16130.5	4-60
LOC_Os03g16130.5	65-121
LOC_Os03g16130.5	103-141
LOC_Os03g16130.5	84-185
LOC_Os03g16130.5	220-288
LOC_Os02g15220.2	168-212
LOC_Os06g46970.1	2-109
LOC_Os03g32170.1	82-168
LOC_Os02g14190.1	2-88
LOC_Os02g14190.1	43-93
LOC_Os02g14190.1	100-126
LOC_Os02g14190.1	90-158
LOC_Os02g14190.1	140-166
LOC_Os03g16130.6	38-58
LOC_Os03g16130.6	132-224
LOC_Os03g16130.6	13-342
LOC_Os03g16130.6	435-461
LOC_Os03g16130.6	516-551
LOC_Os09g14660.1	18-56
LOC_Os09g14660.1	61-153
LOC_Os04g46580.1	95-121
LOC_Os04g46580.1	127-147
LOC_Os01g24490.1	41-91
LOC_Os01g24490.1	79-108
LOC_Os01g24490.1	105-164
LOC_Os06g08530.1	163-216
LOC_Os06g08530.1	231-254
LOC_Os11g10530.1	15-92
LOC_Os06g08530.2	163-216
LOC_Os06g08530.2	231-254
LOC_Os01g33684.1	101-130
LOC_Os01g33684.1	16-189
LOC_Os01g33684.1	200-250
LOC_Os01g33684.1	211-258
LOC_Os01g33684.1	228-266
LOC_Os01g33684.1	288-305
LOC_Os01g33684.1	302-322
LOC_Os01g33684.1	274-327
LOC_Os01g33684.1	352-399
LOC_Os01g33684.1	324-407
LOC_Os01g33684.1	335-421
LOC_Os11g10530.2	15-92
LOC_Os02g39930.1	75-125
LOC_Os02g39930.1	101-145
LOC_Os02g40454.1	33-86
LOC_Os06g08530.3	195-248
LOC_Os06g08530.3	238-372
LOC_Os06g08530.3	285-401
LOC_Os01g33684.2	101-130
LOC_Os01g33684.2	16-189
LOC_Os01g33684.2	200-250
LOC_Os01g33684.2	211-258
LOC_Os01g33684.2	228-266
LOC_Os01g33684.2	288-305
LOC_Os01g33684.2	302-322
LOC_Os01g33684.2	274-327
LOC_Os01g33684.2	352-399
LOC_Os01g33684.2	324-407
LOC_Os01g33684.2	335-421
LOC_Os03g64170.1	21-41
LOC_Os03g64170.1	38-55
LOC_Os03g64170.1	28-138
LOC_Os03g64170.1	66-230
LOC_Os03g64170.1	160-288
LOC_Os02g40454.2	33-86
LOC_Os06g08530.4	163-216
LOC_Os06g08530.4	231-254
LOC_Os06g08530.4	267-392
LOC_Os06g08530.4	549-590
LOC_Os06g08530.4	580-714
LOC_Os06g08530.4	627-743
LOC_Os06g08530.4	759-827
LOC_Os06g08530.4	856-885
LOC_Os06g08530.4	840-914
LOC_Os06g08530.4	957-974
LOC_Os06g08530.4	977-1015
LOC_Os06g08530.4	1026-1052
LOC_Os06g08530.4	952-1089
LOC_Os06g08530.4	1086-1139
LOC_Os06g08530.4	1158-1175
LOC_Os06g08530.4	1176-1226
LOC_Os06g08530.4	1207-1248
LOC_Os06g08530.4	1245-1268
LOC_Os01g33684.3	101-130
LOC_Os01g33684.3	16-171
LOC_Os01g33684.3	155-187
LOC_Os01g33684.3	168-206
LOC_Os01g33684.3	217-267
LOC_Os01g33684.3	228-275
LOC_Os01g33684.3	245-283
LOC_Os01g33684.3	305-322
LOC_Os01g33684.3	319-339
LOC_Os01g33684.3	291-344
LOC_Os01g33684.3	369-416
LOC_Os01g33684.3	341-424
LOC_Os01g33684.3	352-438
LOC_Os03g64170.2	4-90
LOC_Os03g64170.2	95-118
LOC_Os06g08530.5	163-216
LOC_Os06g08530.5	231-254
LOC_Os06g08530.5	267-392
LOC_Os06g08530.5	549-590
LOC_Os06g08530.5	580-714
LOC_Os06g08530.5	627-743
LOC_Os06g08530.5	759-797
LOC_Os06g08530.5	803-820
LOC_Os06g08530.5	775-825
LOC_Os06g08530.5	854-883
LOC_Os06g08530.5	963-992
LOC_Os06g08530.5	947-1021
LOC_Os06g08530.5	934-1062
LOC_Os06g08530.5	1064-1081
LOC_Os06g08530.5	1084-1122
LOC_Os06g08530.5	1133-1159
LOC_Os06g08530.5	1059-1196
LOC_Os06g08530.5	1193-1246
LOC_Os06g08530.5	1265-1282
LOC_Os06g08530.5	1283-1333
LOC_Os06g08530.5	1314-1355
LOC_Os06g08530.5	1352-1375
LOC_Os07g31340.1	31-135
LOC_Os07g31340.1	166-183
LOC_Os07g31340.1	204-305
LOC_Os07g31340.1	217-312
LOC_Os07g31340.2	31-135
LOC_Os07g31340.2	166-183
LOC_Os07g31340.2	204-305
LOC_Os07g31340.2	217-312
LOC_Os07g35979.1	52-213
LOC_Os07g35979.1	18-257
LOC_Os02g55970.1	31-54
LOC_Os02g55970.1	77-94
LOC_Os02g55970.1	51-191
LOC_Os04g25210.1	8-37
LOC_Os04g25210.1	34-99
LOC_Os04g25210.1	90-116
LOC_Os04g25210.1	80-124
LOC_Os04g25210.1	132-152
LOC_Os04g25210.1	136-162
LOC_Os04g25210.1	159-176
LOC_Os04g25210.1	143-193
LOC_Os04g25210.1	236-277
LOC_Os04g25210.1	305-337
LOC_Os04g25210.1	318-356
LOC_Os04g25210.1	202-375
LOC_Os04g25210.1	366-401
LOC_Os04g25210.1	344-421
LOC_Os04g24180.1	124-165
LOC_Os02g02600.1	28-90
LOC_Os07g31340.3	2-28
LOC_Os07g31340.3	32-73
LOC_Os02g55970.2	20-106
LOC_Os02g55970.2	96-194
LOC_Os02g55970.2	145-204
LOC_Os04g24180.2	243-281
LOC_Os04g24180.2	239-307
LOC_Os04g24180.2	235-315
LOC_Os11g03060.1	53-76
LOC_Os11g03060.1	70-102
LOC_Os11g03060.1	89-112
LOC_Os11g03060.1	99-128
LOC_Os11g03060.1	135-152
LOC_Os11g03060.1	149-178
LOC_Os11g03060.2	101-139
LOC_Os11g03060.2	3-146
LOC_Os11g03060.2	58-168
LOC_Os11g03060.2	185-214
LOC_Os04g41250.1	73-138
LOC_Os04g41250.1	163-189
LOC_Os04g56180.1	48-83
LOC_Os04g57210.2	394-573
LOC_Os04g57210.2	577-759
LOC_Os04g57210.2	605-763
LOC_Os04g57210.2	756-815
LOC_Os04g57210.2	806-847
LOC_Os04g57210.3	394-573
LOC_Os04g57210.3	577-759
LOC_Os04g57210.3	605-763
LOC_Os04g57210.3	756-815
LOC_Os04g57210.3	806-847
LOC_Os04g57210.3	828-896
LOC_Os04g57210.3	887-952
LOC_Os04g57210.3	918-959
LOC_Os04g57210.3	969-1004
LOC_Os04g57210.3	986-1042
LOC_Os04g57210.3	934-1050
LOC_Os04g57210.3	1106-1147
LOC_Os04g57210.3	1068-1187
LOC_Os02g50640.1	28-63
LOC_Os07g33650.1	153-212
LOC_Os07g33650.1	216-245
LOC_Os07g33650.1	258-299
LOC_Os07g33650.1	2-331
LOC_Os07g33650.1	52-342
LOC_Os07g33650.1	303-392
LOC_Os07g33650.1	404-448
LOC_Os07g33650.1	432-455
LOC_Os07g33650.1	343-462
LOC_Os07g33650.1	480-584
LOC_Os07g33650.1	600-632
LOC_Os07g33650.1	521-637
LOC_Os07g33650.1	517-660
LOC_Os07g33650.1	724-759
LOC_Os07g33650.1	642-785
LOC_Os07g33650.1	764-817
LOC_Os07g33650.1	823-843
LOC_Os07g33650.1	789-860
LOC_Os07g33650.1	833-886
LOC_Os07g33650.1	919-948
LOC_Os07g33650.1	959-985
LOC_Os07g33650.1	989-1036
LOC_Os07g33650.1	967-1050
LOC_Os07g33650.1	1113-1199
LOC_Os07g33650.1	1148-1312
LOC_Os07g33650.1	1300-1341
LOC_Os07g33650.1	1209-1364
LOC_Os07g33650.1	1377-1394
LOC_Os07g33650.1	1373-1411
LOC_Os07g33650.1	1452-1490
LOC_Os07g33650.1	1348-1521
LOC_Os07g33650.1	1540-1557
LOC_Os07g33650.1	1563-1598
LOC_Os07g33650.1	1599-1643
LOC_Os07g33650.1	1624-1650
LOC_Os07g33650.1	1595-1654
LOC_Os07g33650.1	1651-1701
LOC_Os07g33650.1	1726-1752
LOC_Os07g33650.1	1647-1757
LOC_Os07g33650.1	1779-1835
LOC_Os07g33650.1	1934-1957
LOC_Os07g33650.1	1852-2004
LOC_Os07g33650.1	1869-2051
LOC_Os07g33650.1	2065-2088
LOC_Os07g33650.2	153-212
LOC_Os07g33650.2	216-245
LOC_Os07g33650.2	258-299
LOC_Os07g33650.2	2-331
LOC_Os07g33650.2	52-342
LOC_Os07g33650.2	303-392
LOC_Os07g33650.2	404-448
LOC_Os07g33650.2	432-455
LOC_Os07g33650.2	343-462
LOC_Os07g33650.2	480-584
LOC_Os07g33650.2	600-632
LOC_Os07g33650.2	521-637
LOC_Os07g33650.2	517-660
LOC_Os07g33650.2	724-759
LOC_Os07g33650.2	642-785
LOC_Os07g33650.2	764-817
LOC_Os07g33650.2	823-843
LOC_Os07g33650.2	789-860
LOC_Os07g33650.2	833-886
LOC_Os07g33650.2	919-948
LOC_Os07g33650.2	959-985
LOC_Os07g33650.2	989-1036
LOC_Os07g33650.2	967-1050
LOC_Os07g33650.2	1113-1199
LOC_Os09g06499.1	9-68
LOC_Os04g26490.1	15-50
LOC_Os07g33650.3	57-212
LOC_Os09g06499.2	9-68
LOC_Os06g51240.1	198-236
LOC_Os06g51240.1	35-247
LOC_Os06g51240.1	7-270
LOC_Os06g51240.1	248-274
LOC_Os06g51240.1	258-278
LOC_Os06g51240.1	275-325
LOC_Os06g51240.1	301-351
LOC_Os06g51240.1	279-377
LOC_Os03g10650.1	71-331
LOC_Os06g51240.2	9-206
LOC_Os06g51240.2	176-217
LOC_Os06g51240.2	193-240
LOC_Os06g51240.2	218-244
LOC_Os06g51240.2	228-248
LOC_Os06g51240.2	245-295
LOC_Os06g51240.2	271-321
LOC_Os06g51240.2	249-347
LOC_Os04g43560.1	64-81
LOC_Os02g20950.1	17-37
LOC_Os04g59520.1	2-34
LOC_Os04g59520.1	43-132
LOC_Os04g59520.1	65-208
LOC_Os04g59520.1	54-227
LOC_Os07g03960.1	5-58
LOC_Os07g03960.1	55-72
LOC_Os02g35880.1	19-36
LOC_Os04g05120.1	99-233
LOC_Os05g04600.1	26-64
LOC_Os05g04600.1	74-133
LOC_Os05g04600.1	64-207
LOC_Os05g04600.1	143-211
LOC_Os05g04600.1	208-261
LOC_Os05g04600.1	231-305
LOC_Os05g04600.1	318-341
LOC_Os05g04600.1	314-361
LOC_Os05g04600.1	342-416
LOC_Os12g27102.1	8-31
LOC_Os12g27102.1	28-51
LOC_Os12g27102.2	2-67
LOC_Os12g27102.2	83-118
LOC_Os12g27102.2	192-212
LOC_Os10g40030.1	12-65
LOC_Os10g40030.1	71-163
LOC_Os10g40030.1	197-217
LOC_Os01g53470.1	42-65
LOC_Os12g27102.3	8-31
LOC_Os12g27102.3	28-51
LOC_Os12g27102.3	24-110
LOC_Os12g27102.3	111-164
LOC_Os12g27102.3	68-193
LOC_Os12g27102.3	82-225
LOC_Os12g27102.3	218-235
LOC_Os12g27102.3	222-257
LOC_Os12g27102.3	263-295
LOC_Os12g27102.3	232-339
LOC_Os12g27102.3	300-350
LOC_Os10g40030.2	16-69
LOC_Os10g40030.2	3-167
LOC_Os10g40030.2	50-232
LOC_Os10g40030.2	287-313
LOC_Os10g40030.2	300-374
LOC_Os10g40030.2	375-410
LOC_Os10g40030.2	371-421
LOC_Os10g40030.2	446-475
LOC_Os10g40030.2	501-539
LOC_Os10g40030.2	536-589
LOC_Os10g40030.2	307-612
LOC_Os10g40030.2	603-623
LOC_Os06g36480.1	72-101
LOC_Os06g36480.1	102-197
LOC_Os06g36480.1	13-201
LOC_Os06g36480.1	211-237
LOC_Os06g36480.1	204-248
LOC_Os10g40030.3	1-42
LOC_Os10g40030.3	48-128
LOC_Os10g40030.3	23-133
LOC_Os10g40030.3	167-187
LOC_Os10g40030.4	8-52
LOC_Os10g40030.4	58-144
LOC_Os10g40030.5	8-52
LOC_Os10g40030.5	33-164
LOC_Os10g40030.5	58-177
LOC_Os10g40030.5	128-187
LOC_Os10g40030.5	174-194
LOC_Os10g40030.5	213-236
LOC_Os10g40030.5	199-285
LOC_Os10g40030.5	294-329
LOC_Os10g40030.5	227-394
LOC_Os10g40030.5	331-399
LOC_Os10g40030.5	366-464
LOC_Os10g40030.5	519-545
LOC_Os10g40030.5	532-606
LOC_Os10g40030.5	607-642
LOC_Os10g40030.5	603-653
LOC_Os10g40030.5	678-707
LOC_Os10g40030.5	733-771
LOC_Os10g40030.5	768-821
LOC_Os10g40030.5	539-844
LOC_Os10g40030.5	835-855
LOC_Os10g40030.6	8-52
LOC_Os10g40030.6	58-144
LOC_Os10g40030.7	8-52
LOC_Os10g40030.7	33-164
LOC_Os10g40030.7	58-177
LOC_Os10g40030.7	128-187
LOC_Os10g40030.7	174-194
LOC_Os10g40030.7	213-236
LOC_Os10g40030.7	199-285
LOC_Os10g40030.7	294-329
LOC_Os10g40030.7	227-394
LOC_Os10g40030.7	331-399
LOC_Os10g40030.7	366-464
LOC_Os10g40030.7	519-545
LOC_Os10g40030.7	532-606
LOC_Os10g40030.7	607-642
LOC_Os10g40030.7	603-653
LOC_Os10g40030.7	678-707
LOC_Os10g40030.7	733-771
LOC_Os10g40030.7	768-821
LOC_Os10g40030.7	539-844
LOC_Os10g40030.7	835-855
LOC_Os10g40030.7	886-1200
LOC_Os10g40030.8	8-52
LOC_Os10g40030.8	58-138
LOC_Os10g40030.8	33-143
LOC_Os10g40030.8	116-208
LOC_Os10g40030.8	263-289
LOC_Os10g40030.8	276-350
LOC_Os10g40030.8	351-386
LOC_Os10g40030.8	347-397
LOC_Os10g40030.8	422-451
LOC_Os10g40030.8	477-515
LOC_Os10g40030.8	512-565
LOC_Os10g40030.8	283-588
LOC_Os10g40030.8	579-599
LOC_Os10g40030.9	35-121
LOC_Os09g28880.1	2-34
LOC_Os02g46510.1	71-106
LOC_Os02g46510.1	7-216
LOC_Os02g45480.1	46-282
LOC_Os11g36679.1	2-19
LOC_Os11g36679.1	23-52
LOC_Os11g36679.1	28-60
LOC_Os11g36679.1	68-85
LOC_Os11g36679.1	85-120
LOC_Os11g36679.1	6-221
LOC_Os11g36679.1	95-241
LOC_Os11g36679.1	238-297
LOC_Os11g36679.1	258-398
LOC_Os11g36679.1	337-483
LOC_Os11g36679.1	465-599
LOC_Os02g45480.2	46-282
LOC_Os02g45480.3	46-282
LOC_Os05g05880.1	43-135
LOC_Os05g05880.1	62-145
LOC_Os05g05880.1	235-285
LOC_Os05g05880.1	344-385
LOC_Os05g05880.1	367-423
LOC_Os05g05880.1	532-609
LOC_Os05g05880.1	461-649
LOC_Os05g05880.1	646-801
LOC_Os05g05880.1	791-808
LOC_Os05g05880.1	845-880
LOC_Os05g05880.1	874-954
LOC_Os05g05880.1	929-958
LOC_Os05g05880.1	964-990
LOC_Os05g05880.1	1024-1059
LOC_Os05g05880.1	1147-1254
LOC_Os05g05880.1	1301-1342
LOC_Os05g05880.1	1442-1459
LOC_Os05g05880.1	1463-1480
LOC_Os05g05880.1	1481-1537
LOC_Os05g05880.1	1333-1590
LOC_Os05g05880.1	1251-1643
LOC_Os02g45480.4	10-60
LOC_Os04g39430.1	155-175
LOC_Os04g39430.1	136-186
LOC_Os04g39430.1	188-217
LOC_Os04g39430.2	155-175
LOC_Os04g39430.2	136-186
LOC_Os04g39430.2	188-217
LOC_Os11g02350.1	47-67
LOC_Os11g02350.1	161-193
LOC_Os11g02350.1	218-235
LOC_Os05g37880.1	55-240
LOC_Os04g40540.1	77-97
LOC_Os04g40540.1	81-290
LOC_Os04g40540.1	194-301
LOC_Os04g56500.1	75-170
LOC_Os09g23550.2	65-88
LOC_Os09g23550.2	164-244
LOC_Os09g23550.2	7-252
LOC_Os09g23550.2	256-297
LOC_Os09g23550.2	284-361
LOC_Os09g23550.2	316-387
LOC_Os09g23550.2	183-413
LOC_Os09g23550.2	419-508
LOC_Os09g23550.2	505-552
LOC_Os09g23550.2	536-577
LOC_Os09g23550.2	596-637
LOC_Os09g23550.2	619-672
LOC_Os09g23550.2	728-748
LOC_Os04g40540.3	77-97
LOC_Os04g40540.3	81-290
LOC_Os04g40540.3	194-301
LOC_Os04g40540.3	70-498
LOC_Os04g40540.3	368-613
LOC_Os04g40540.3	502-621
LOC_Os04g40540.3	321-626
LOC_Os04g40540.3	710-730
LOC_Os04g40540.3	702-734
LOC_Os04g40540.3	643-759
LOC_Os04g40540.3	737-802
LOC_Os04g40540.3	803-898
LOC_Os04g40540.3	932-1024
LOC_Os04g40540.3	888-1037
LOC_Os04g01070.1	15-44
LOC_Os04g01070.1	45-110
LOC_Os04g01070.1	79-120
LOC_Os04g01070.1	107-175
LOC_Os04g01070.1	142-228
LOC_Os04g01070.1	191-283
LOC_Os04g01070.1	301-375
LOC_Os04g01070.1	294-392
LOC_Os04g01070.1	379-423
LOC_Os04g01070.1	389-448
LOC_Os02g48820.1	14-31
LOC_Os02g55080.1	36-134
LOC_Os02g55080.1	163-219
LOC_Os07g47284.1	10-78
LOC_Os07g47284.1	100-165
LOC_Os07g47284.1	169-189
LOC_Os07g47284.1	203-229
LOC_Os07g47284.1	96-260
LOC_Os07g47284.1	193-453
LOC_Os07g47284.1	454-483
LOC_Os07g47284.1	496-528
LOC_Os07g47284.1	529-549
LOC_Os07g47284.1	533-571
LOC_Os07g47284.1	565-594
LOC_Os01g65380.1	101-121
LOC_Os06g14406.1	42-77
LOC_Os06g14406.1	13-249
LOC_Os06g49420.2	48-197
LOC_Os07g48900.1	45-137
LOC_Os03g08830.1	32-148
LOC_Os09g09820.1	144-161
LOC_Os09g09820.1	98-250
LOC_Os09g09820.1	247-390
LOC_Os09g09820.1	213-491
LOC_Os09g09820.1	446-502
